国,中文名,类型,父级,状态,拼音,英文名,组序号,ID,type,parent,max_above,state,配置,产出,,,,
楚,郢,城邑,,模型待改,Yǐng,Ying3,1,t.chu1,town,,0,chu,,,,,,
楚,甘鱼口,村庄,郢,模型待改,Gānyúkǒu,Gan1 Yu2 Kou3,1,t.v.chu1.1,village,2,0,chu,,粟,,,,
楚,竞陵,村庄,郢,模型待改,Jìnglíng,Jing4 Ling2,2,t.v.chu1.2,village,2,1,chu,,矿石,,,,
楚,孱陵,村庄,郢,模型待改,Chánlíng,Chan2 Ling2,3,t.v.chu1.3,village,2,2,chu,,马,,,,
楚,夷陵,邑,,未放置,Yílíng,Yi2 Ling2,1,f.chu1,fort,,0,chu,,,,,,
楚,巫,村庄,夷陵,未放置,Wū,Wu1,1,f.v.chu1.1,village,6,0,chu,,猪,,,,
楚,宜诸,村庄,夷陵,未放置,Yízhū,Yi2 Zhu1,2,f.v.chu1.2,village,6,1,chu,,盐,,,,
楚,扞关,关隘,,未放置,Hànguān,Han4 Guan1,1,p.chu1,pass,,0,chu,,,,,,
楚,上庸,城邑,,未放置,Shàngyōng,Shang4 Yong1,2,t.chu2,town,,1,chu,,,,,,
楚,西成,村庄,上庸,未放置,Xīchéng,Xi1 Cheng2,1,t.v.chu2.1,village,10,0,chu,,金,,,,
楚,房陵,村庄,上庸,未放置,Fánglíng,Fang2 Ling2,2,t.v.chu2.2,village,10,1,chu,,矿石,,,,
楚,武关,关隘,,未放置,Wǔguān,Wu3 Guan1,2,p.chu2,pass,,1,chu,,,,,,
楚,宛城,城邑,,未放置,Wǎnchéng,Wan3 Cheng2,3,t.chu3,town,,2,chu,,,,,,
楚,墨阳,村庄,宛城,未放置,Mòyáng,Mo4 Yang2,1,t.v.chu3.1,village,14,0,chu,,马,,,,
楚,博望,村庄,宛城,未放置,Bówàng,Bo2 Wang4,2,t.v.chu3.2,village,14,1,chu,,葛麻,,,,
楚,阴,村庄,宛城,未放置,Yīn,Yin1,3,t.v.chu3.3,village,14,2,chu,,盐,,,,
楚,邓邑,邑,,未放置,Dèngyì,Deng4 Yi4,2,f.chu2,fort,,1,chu,,,,,,
楚,新野,村庄,邓邑,未放置,Xīnyě,Xin1 Ye3,1,f.v.chu2.1,village,18,0,chu,,丝绸,,,,
楚,上唐,村庄,邓邑,未放置,Shàngtáng,Shang4 Tang2,2,f.v.chu2.2,village,18,1,chu,,粟,,,,
楚,鲁关,关隘,,未放置,Lǔguān,Lu3 Guan1,3,p.chu3,pass,,2,chu,,,,,,
楚,畐焚,邑,,未放置,Fúfén,Fu2 Fen2,3,f.chu3,fort,,2,chu,,,,,,
楚,昆阳,村庄,畐焚,未放置,Kūnyáng,Kun1 Yang2,1,f.v.chu3.1,village,22,0,chu,,陶器,,,,
楚,合伯,村庄,畐焚,未放置,Hébó,He2 Bo2,2,f.v.chu3.2,village,22,1,chu,,丝绸,,,,
楚,城阳,城邑,,未放置,Chéngyáng,Cheng2 Yang2,4,t.chu4,town,,3,chu,,,,,,
