国,中文名,类型,父级,状态,拼音,英文名,组序号,ID,type,parent,max_above,state,配置,产出,,,,
蜀,成,城邑,,未放置,Chéng,Cheng2,1,t.shu1,town,,0,shu,,,,,,
蜀,旌阳,村庄,成,未放置,Jīngyáng,Jing1 Yang2,1,t.v.shu1.1,village,2,0,shu,,矿石,,,,
蜀,郫,村庄,成,未放置,Pí,Pi2,2,t.v.shu1.2,village,2,1,shu,,金,,,,
蜀,武阳,邑,,未放置,Wǔyáng,Wu3 Yang2,1,f.shu1,fort,,0,shu,,,,,,
蜀,南安,村庄,武阳,未放置,Nán'ān,Nan2 An1,1,f.v.shu1.1,village,5,0,shu,,羊,,,,
蜀,牛鞞,村庄,武阳,未放置,Niúbǐ,Niu2 Bi3,2,f.v.shu1.2,village,5,1,shu,,牛,,,,
蜀,邛,邑,,未放置,Qióng,Qiong2,2,f.shu2,fort,,1,shu,,,,,,
蜀,汉嘉,村庄,邛,未放置,Hànjiā,Han4 Jia1,1,f.v.shu2.1,village,8,0,shu,,马,,,,
蜀,荥经,村庄,邛,未放置,Yíngjīng,Ying2 Jing1,2,f.v.shu2.2,village,8,1,shu,,葛麻,,,,
蜀,梓潼,城邑,,未放置,Zǐtóng,Zi3 Tong2,2,t.shu2,town,,1,shu,,,,,,
蜀,涪,村庄,梓潼,未放置,Fú,Fu2,1,t.v.shu2.1,village,11,0,shu,,葛麻,,,,
蜀,潺亭,村庄,梓潼,未放置,Chántíng,Chan2 Ting2,2,t.v.shu2.2,village,11,1,shu,,粟,,,,
蜀,葭萌关,关隘,,未放置,Jiāméngguān,Jia1 Meng2 Guan1,1,p.shu1,pass,,0,shu,,,,,,
蜀,武都,邑,,未放置,Wǔdū,Wu3 Du1,3,f.shu3,fort,,2,shu,,,,,,
蜀,阴平,村庄,武都,未放置,Yīnpíng,Yin1 Ping2,1,f.v.shu3.1,village,15,0,shu,,陶器,,,,
蜀,昭化,村庄,武都,未放置,Zhāohuà,Zhao1 Hua4,2,f.v.shu3.2,village,15,1,shu,,丝绸,,,,
