国,中文名,类型,父级,状态,拼音,英文名,组序号,ID,type,parent,max_above,state,配置,产出,,,,
越,会稽,城邑,,未放置,Kuàijī,Kuai4 Ji1,1,t.yue1,town,,0,yue,,,,,,
越,禹杭,村庄,会稽,未放置,Yǔháng,Yu3 Hang2,1,t.v.yue1.1,village,2,0,yue,,面粉,,,,
越,富春,村庄,会稽,未放置,Fùchūn,Fu4 Chun1,2,t.v.yue1.2,village,2,1,yue,,葛麻,,,,
越,越池,村庄,会稽,未放置,Yuèchí,Yue4 Chi2,3,t.v.yue1.3,village,2,2,yue,,牛,,,,
越,桐庐,村庄,会稽,未放置,Tónglú,Tong2 Lu2,4,t.v.yue1.4,village,2,3,yue,,猪,,,,
越,乌程,村庄,会稽,未放置,Wūchéng,Wu1 Cheng2,5,t.v.yue1.5,village,2,4,yue,,葛麻,,,,
越,鄞,邑,,未放置,Yín,Yin2,1,f.yue1,fort,,0,yue,,,,,,
越,句章,村庄,鄞,未放置,Gōuzhāng,Gou1 Zhang1,1,f.v.yue1.1,village,8,0,yue,,鱼,,,,
越,甬句东,村庄,鄞,未放置,Yǒnggōudōng,Yong3 Gou1 Dong1,2,f.v.yue1.2,village,8,1,yue,,,,,,
越,白杜里,村庄,鄞,未放置,Báidùlǐ,Bai2 Du4 Li3,3,f.v.yue1.3,village,8,2,yue,,丝绸,,,,
越,句无,邑,,未放置,Gōuwú,Gou1 Wu2,2,f.yue2,fort,,1,yue,,,,,,
越,乌伤,村庄,句无,未放置,Wūshāng,Wu1 Shang1,1,f.v.yue2.1,village,12,0,yue,,葛麻,,,,
越,婺,村庄,句无,未放置,Wù,Wu4,2,f.v.yue2.2,village,12,1,yue,,面粉,,,,
越,姑蔑,邑,,未放置,Gūmiè,Gu1 Mie4,3,f.yue3,fort,,2,yue,,,,,,
越,兰溪,村庄,姑蔑,未放置,Lánxī,Lan2 Xi1,1,f.v.yue3.1,village,15,0,yue,,猪,,,,
越,衢,村庄,姑蔑,未放置,Qú,Qu2,2,f.v.yue3.2,village,15,1,yue,,牛,,,,
越,饶,村庄,姑蔑,未放置,Ráo,Rao2,3,f.v.yue3.3,village,15,2,yue,,面粉,,,,
越,余干,城邑,,未放置,Yúgān,Yu2 Gan1,2,t.yue2,town,,1,yue,,,,,,
越,余干,村庄,余干,未放置,Yúgān,Yu2 Gan1,1,t.v.yue2.1,village,19,0,yue,,金,,,,
越,万年,村庄,余干,未放置,Wànnián,Wan4 Nian2,2,t.v.yue2.2,village,19,1,yue,,面粉,,,,
越,鹰潭坊,村庄,余干,未放置,Yīngtánfāng,Ying1 Tan2 Fang1,3,t.v.yue2.3,village,19,2,yue,,面粉,,,,
越,吴,城邑,,未放置,Wú,Wu2,3,t.yue3,town,,2,yue,,,,,,
越,南武,村庄,吴,未放置,Nánwǔ,Nan2 Wu3,1,t.v.yue3.1,village,23,0,yue,,牛,,,,
越,疁田,村庄,吴,未放置,Liútián,Liu2 Tian2,2,t.v.yue3.2,village,23,1,yue,,鱼,,,,
越,武原,村庄,吴,未放置,Wǔyuán,Wu3 Yuan2,3,t.v.yue3.3,village,23,2,yue,,鱼,,,,
越,御儿,村庄,吴,未放置,Yùér,Yu4 Er2,4,t.v.yue3.4,village,23,3,yue,,鱼,,,,
越,爰陵,邑,,未放置,Yuánlíng,Yuan2 Ling2,4,f.yue4,fort,,3,yue,,,,,,
越,鸠兹,村庄,爰陵,未放置,Jiūzī,Jiu1 Zi1,1,f.v.yue4.1,village,28,0,yue,,金,,,,
越,陵阳,村庄,爰陵,未放置,Língyáng,Ling2 Yang2,2,f.v.yue4.2,village,28,1,yue,,丝绸,,,,
越,泾,村庄,爰陵,未放置,Jīng,Jing1,3,f.v.yue4.3,village,28,2,yue,,盐,,,,
越,延陵,邑,,未放置,Yánlíng,Yan2 Ling2,5,f.yue5,fort,,4,yue,,,,,,
越,无锡,村庄,延陵,未放置,Wúxī,Wu2 Xi1,1,f.v.yue5.1,village,32,0,yue,,陶器,,,,
越,茅山,村庄,延陵,未放置,Máoshān,Mao2 Shan1,2,f.v.yue5.2,village,32,1,yue,,猪,,,,
越,菱夫,村庄,延陵,未放置,Língfū,Ling2 Fu1,3,f.v.yue5.3,village,32,2,yue,,牛,,,,
越,云阳,邑,,未放置,Yúnyáng,Yun2 Yang2,6,f.yue6,fort,,5,yue,,,,,,
越,冶,村庄,云阳,未放置,Yě,Ye3,1,f.v.yue6.1,village,36,0,yue,,马,,,,
越,马,村庄,云阳,未放置,Mǎ,Ma3,2,f.v.yue6.2,village,36,1,yue,,盐,,,,
越,广陵,城邑,,未放置,Guǎnglíng,Guang3 Ling2,4,t.yue4,town,,3,yue,,,,,,
越,高邮,村庄,广陵,未放置,Gāoyóu,Gao1 You2,1,t.v.yue4.1,village,39,0,yue,,丝绸,,,,
越,海阳,村庄,广陵,未放置,Hǎiyáng,Hai3 Yang2,2,t.v.yue4.2,village,39,1,yue,,鱼,,,,
越,涂水,村庄,广陵,未放置,Túshuǐ,Tu2 Shui3,3,t.v.yue4.3,village,39,2,yue,,葛麻,,,,
越,盐,邑,,未放置,Yán,Yan2,7,f.yue7,fort,,6,yue,,,,,,
越,盐,村庄,盐,未放置,Yán,Yan2,1,f.v.yue7.1,village,43,0,yue,,盐,,,,
越,昭阳,村庄,盐,未放置,Zhāoyáng,Zhao1 Yang2,2,f.v.yue7.2,village,43,1,yue,,盐,,,,
越,郧,村庄,盐,未放置,Yún,Yun2,3,f.v.yue7.3,village,43,2,yue,,盐,,,,
越,高平,邑,,未放置,Gāopíng,Gao1 Ping2,8,f.yue8,fort,,7,yue,,,,,,
越,娄林,村庄,高平,未放置,Lóulín,Lou2 Lin2,1,f.v.yue8.1,village,47,0,yue,,丝绸,,,,
越,淮阴,村庄,高平,未放置,Huáiyīn,Huai2 Yin1,2,f.v.yue8.2,village,47,1,yue,,葛麻,,,,
越,邳,城邑,,未放置,Pī,Pi1,5,t.yue5,town,,4,yue,,,,,,
越,钟吾,村庄,邳,未放置,Zhōngwú,Zhong1 Wu2,1,t.v.yue5.1,village,50,0,yue,,矿石,,,,
