国,中文名,类型,父级,状态,英文名,组序号,ID,type,parent,max_above,state,style,,,,,
韩,新郑,城邑,,未放置,Xin Zheng,1,t.han1,town,,0,han,1,,,,,
韩,荥阳,村庄,新郑,未放置,Xing Yang,1,t.v.han1.1,village,2,0,han,,,,,,
韩,成皋,村庄,新郑,未放置,Cheng Gao,2,t.v.han1.2,village,2,1,han,,,,,,
韩,三亭,村庄,新郑,未放置,San Ting,3,t.v.han1.3,village,2,2,han,,,,,,
韩,安陵,村庄,新郑,未放置,An Ling,4,t.v.han1.4,village,2,3,han,,,,,,
韩,阳翟,城邑,,未放置,,2,t.han2,town,,1,han,2,,,,,
韩,负黍,村庄,阳翟,未放置,,1,t.v.han2.1,village,7,0,han,,,,,,
韩,襄,村庄,阳翟,未放置,,2,t.v.han2.2,village,7,1,han,,,,,,
韩,许,村庄,阳翟,未放置,,3,t.v.han2.3,village,7,2,han,,,,,,
韩,宜阳,城邑,,未放置,,3,t.han3,town,,2,han,2,,,,,
韩,武始,村庄,宜阳,未放置,,1,t.v.han3.1,village,11,0,han,,,,,,
韩,纶氏,村庄,宜阳,未放置,,2,t.v.han3.2,village,11,1,han,,,,,,
韩,新,村庄,宜阳,未放置,,3,t.v.han3.3,village,11,2,han,,,,,,
韩,高都,城邑,,未放置,,4,t.han4,town,,3,han,2,,,,,
韩,伊氏,村庄,高都,未放置,,1,t.v.han4.1,village,15,0,han,,,,,,
韩,端氏,村庄,高都,未放置,,2,t.v.han4.2,village,15,1,han,,,,,,
韩,光狼,村庄,高都,未放置,,3,t.v.han4.3,village,15,2,han,,,,,,
韩,平阳,城邑,,未放置,,5,t.han5,town,,4,han,2,,,,,
韩,高梁,村庄,平阳,未放置,,1,t.v.han5.1,village,19,0,han,,,,,,
韩,杨氏,村庄,平阳,未放置,,2,t.v.han5.2,village,19,1,han,,,,,,
韩,发鸠,村庄,平阳,未放置,,3,t.v.han5.3,village,19,2,han,,,,,,
韩,阴成,邑,,未放置,,1,f.han1,fort,,0,han,,,,,,
韩,鹿蹄,村庄,阴成,未放置,,1,f.v.han1.1,village,23,0,han,,,,,,
韩,女几,村庄,阴成,未放置,,2,f.v.han1.2,village,23,1,han,,,,,,
韩,卢氏,村庄,阴成,未放置,,3,f.v.han1.3,village,23,2,han,,,,,,
韩,野王,邑,,未放置,,2,f.han2,fort,,1,han,,,,,,
韩,邘,村庄,野王,未放置,Yu2,1,f.v.han2.1,village,27,0,han,,,,,,
韩,山阳,村庄,野王,未放置,,2,f.v.han2.2,village,27,1,han,,,,,,
韩,殷,村庄,野王,未放置,,3,f.v.han2.3,village,27,2,han,,,,,,
韩,王垣,邑,,未放置,,3,f.han3,fort,,2,han,,,,,,
韩,皋落,村庄,王垣,未放置,,1,f.v.han3.1,village,31,0,han,,,,,,
韩,曲阳,村庄,王垣,未放置,,2,f.v.han3.2,village,31,1,han,,,,,,
韩,少曲,村庄,王垣,未放置,,3,f.v.han3.3,village,31,2,han,,,,,,
韩,尚子,邑,,未放置,,4,f.han4,fort,,3,han,,,,,,
韩,屯留,村庄,尚子,未放置,,1,f.v.han4.1,village,35,0,han,,,,,,
韩,余吾,村庄,尚子,未放置,,2,f.v.han4.2,village,35,1,han,,,,,,
韩,阳侯塞,邑,,未放置,,5,f.han5,fort,,4,han,,,,,,
韩,源,村庄,阳侯塞,未放置,,1,f.v.han5.1,village,38,0,han,,,,,,
韩,同是,村庄,阳侯塞,未放置,,2,f.v.han5.2,village,38,1,han,,,,,,
韩,涅,邑,,未放置,,6,f.han6,fort,,5,han,,,,,,
韩,祁,村庄,涅,未放置,,1,f.v.han6.1,village,41,0,han,,,,,,
韩,襄垣,村庄,涅,未放置,,2,f.v.han6.2,village,41,1,han,,,,,,
韩,露,邑,,未放置,,7,f.han7,fort,,6,han,,,,,,
韩,虒,村庄,露,未放置,Si1,1,f.v.han7.1,village,44,0,han,,,,,,
韩,黎,村庄,露,未放置,,2,f.v.han7.2,village,44,1,han,,,,,,
韩,林虑,邑,,未放置,,8,f.han8,fort,,7,han,,,,,,
韩,涉,村庄,林虑,未放置,,1,f.v.han8.1,village,47,0,han,,,,,,
韩,林,村庄,林虑,未放置,,2,f.v.han8.2,village,47,1,han,,,,,,
